holiday_name,holiday_date
New Year's Day,2022-01-01
Martin Luther King Jr. Day,2022-01-17
Presidents' Day,2022-02-21
Memorial Day,2022-05-30
Independence Day,2022-07-04
Labor Day,2022-09-05
Veterans Day,2022-11-11
Thanksgiving Day,2022-11-24
Christmas Day,2022-12-25
New Year's Day,2025-01-01
Martin Luther King Jr. Day,2025-01-20
Presidents' Day,2025-02-17
Memorial Day,2025-05-26
Independence Day,2025-07-04
Labor Day,2025-09-01
Veterans Day,2025-11-11
Thanksgiving Day,2025-11-27
Christmas Day,2025-12-25
New Year's Day,2026-01-01
Martin Luther King Jr. Day,2026-01-19
Presidents' Day,2026-02-16
Memorial Day,2026-05-25
Independence Day,2026-07-04
Labor Day,2026-09-07
Veterans Day,2026-11-11
Thanksgiving Day,2026-11-26
Christmas Day,2026-12-25
